N,f,timeToElection,alpha,timeSpentInNanoSeconds
50,24,1500,0.1,1500853373
50,24,1500,0.1,663960795
50,24,1500,0.1,541633814
50,24,1500,0.1,1020523771
50,24,1500,0.1,645479
50,24,2000,0.1,481733494
50,24,2000,0.1,357616632
50,24,2000,0.1,386239968
50,24,2000,0.1,237894
50,24,2000,0.1,239755305
50,24,10,1.0,11289336
50,24,10,1.0,11249511
50,24,10,1.0,10483131
50,24,10,1.0,11081138
50,24,10,1.0,10528421
50,24,100,1.0,100550868
50,24,100,1.0,102063753
50,24,100,1.0,100577678
50,24,100,1.0,56574199
50,24,100,1.0,101780974
50,24,500,1.0,500331215
50,24,500,1.0,37339781
50,24,500,1.0,508720089
50,24,500,1.0,36587320
50,24,500,1.0,284234017
50,24,1000,1.0,486921013
50,24,1000,1.0,609506548
50,24,1000,1.0,928408134
50,24,1000,1.0,1000547857
50,24,1000,1.0,1000583708
50,24,1500,1.0,759532516
50,24,1500,1.0,137209757
50,24,1500,1.0,1500427724
50,24,1500,1.0,165272696
50,24,1500,1.0,1500593802
50,24,2000,1.0,1614161058
50,24,2000,1.0,2000679568
50,24,2000,1.0,111462912
50,24,2000,1.0,2001995338
50,24,2000,1.0,2009440644
60,29,10,0.0,14858487
60,29,10,0.0,15365171
60,29,10,0.0,12339846
60,29,10,0.0,12771046
60,29,10,0.0,11985534
60,29,100,0.0,113582452
60,29,100,0.0,104880568
60,29,100,0.0,109999987
60,29,100,0.0,104070968
60,29,100,0.0,112675589
60,29,500,0.0,504144775
60,29,500,0.0,504545340
60,29,500,0.0,502661767
60,29,500,0.0,503882387
60,29,500,0.0,503487336
60,29,1000,0.0,339850139
60,29,1000,0.0,1002872223
60,29,1000,0.0,1004263249
60,29,1000,0.0,1003762649
60,29,1000,0.0,534758
60,29,1500,0.0,1506757625
60,29,1500,0.0,1505199552
60,29,1500,0.0,1506268693
60,29,1500,0.0,1505963354
60,29,1500,0.0,1504046492
60,29,2000,0.0,2003826779
60,29,2000,0.0,2005175969
60,29,2000,0.0,2035749860
60,29,2000,0.0,2005381437
60,29,2000,0.0,2005295632
60,29,10,0.1,10836947
60,29,10,0.1,11067813
60,29,10,0.1,12751477
60,29,10,0.1,11074407
60,29,10,0.1,10782392
60,29,100,0.1,100919248
60,29,100,0.1,101126908
60,29,100,0.1,104364446
60,29,100,0.1,103749971
60,29,100,0.1,100929227
60,29,500,0.1,501905540
60,29,500,0.1,501149534
60,29,500,0.1,500879112
60,29,500,0.1,135586669
60,29,500,0.1,500718759
60,29,1000,0.1,1000904303
60,29,1000,0.1,120765871
60,29,1000,0.1,1001667574
60,29,1000,0.1,1001218692
60,29,1000,0.1,166304324
60,29,1500,0.1,1501039992
60,29,1500,0.1,933497366
60,29,1500,0.1,672905858
60,29,1500,0.1,1500682659
60,29,1500,0.1,829214294
60,29,2000,0.1,2001016027
60,29,2000,0.1,1225315432
60,29,2000,0.1,2001256088
60,29,2000,0.1,2001125458
60,29,2000,0.1,2000934574
60,29,10,1.0,12117824
60,29,10,1.0,18979449
60,29,10,1.0,10989388
60,29,10,1.0,11233670
60,29,10,1.0,11045780
60,29,100,1.0,295863
60,29,100,1.0,101229511
60,29,100,1.0,102014600
60,29,100,1.0,101007351
60,29,100,1.0,100729539
60,29,500,1.0,320697444
60,29,500,1.0,500787298
60,29,500,1.0,500995102
60,29,500,1.0,500945760
60,29,500,1.0,500998080
60,29,1000,1.0,1001452117
60,29,1000,1.0,1001194465
60,29,1000,1.0,1001152521
60,29,1000,1.0,1001005828
60,29,1000,1.0,421716655
60,29,1500,1.0,1500984206
60,29,1500,1.0,1500888443
60,29,1500,1.0,1500735846
60,29,1500,1.0,1502402043
60,29,1500,1.0,301858442
60,29,2000,1.0,2001329038
60,29,2000,1.0,1597633752
60,29,2000,1.0,2001148098
60,29,2000,1.0,2001371613
60,29,2000,1.0,2001270544
70,34,10,0.0,24194969
70,34,10,0.0,34199014
70,34,10,0.0,14302994
70,34,10,0.0,14960024
70,34,10,0.0,17140367
70,34,100,0.0,108538971
70,34,100,0.0,104771780
70,34,100,0.0,120355687
70,34,100,0.0,104109453
70,34,100,0.0,106140411
70,34,500,0.0,508279605
70,34,500,0.0,504965967
70,34,500,0.0,507218427
70,34,500,0.0,506324623
70,34,500,0.0,505982616
70,34,1000,0.0,1009298023
70,34,1000,0.0,1012517795
70,34,1000,0.0,1003774337
70,34,1000,0.0,609057310
70,34,1000,0.0,557833895
70,34,1500,0.0,955085956
70,34,1500,0.0,1018631065
70,34,1500,0.0,1503617642
70,34,1500,0.0,1506796307
70,34,1500,0.0,936266046
70,34,2000,0.0,2005882728
70,34,2000,0.0,2007536741
70,34,2000,0.0,99018101
70,34,2000,0.0,2004849520
70,34,2000,0.0,2004915554
70,34,10,0.1,11536810
70,34,10,0.1,11200204
70,34,10,0.1,11254431
70,34,10,0.1,11439519
70,34,10,0.1,13893139
70,34,100,0.1,103082051
70,34,100,0.1,101508823
70,34,100,0.1,101360016
70,34,100,0.1,122877386
70,34,100,0.1,101300844
70,34,500,0.1,501218525
70,34,500,0.1,501674309
70,34,500,0.1,501268254
70,34,500,0.1,501218692
70,34,500,0.1,501540668
70,34,1000,0.1,1001463813
70,34,1000,0.1,1001051489
70,34,1000,0.1,1014069691
70,34,1000,0.1,1001326209
70,34,1000,0.1,1001228644
70,34,1500,0.1,1501451276
70,34,1500,0.1,19607732
70,34,1500,0.1,1501556133
70,34,1500,0.1,1501281156
70,34,1500,0.1,1501173893
70,34,2000,0.1,2001225141
70,34,2000,0.1,2001389503
70,34,2000,0.1,2001576100
70,34,2000,0.1,10940670
70,34,2000,0.1,2002264578
70,34,10,1.0,12053837
70,34,10,1.0,18879030
70,34,10,1.0,11513880
70,34,10,1.0,11575932
70,34,10,1.0,11795319
70,34,100,1.0,101125152
70,34,100,1.0,101659471
70,34,100,1.0,101304485
70,34,100,1.0,101442156
70,34,100,1.0,101622176
70,34,500,1.0,81578702
70,34,500,1.0,501007504
70,34,500,1.0,501377383
70,34,500,1.0,501699926
70,34,500,1.0,501038955
70,34,1000,1.0,1002737294
70,34,1000,1.0,1001013052
70,34,1000,1.0,1001479318
70,34,1000,1.0,1001188505
70,34,1000,1.0,1001022370
70,34,1500,1.0,1501494976
70,34,1500,1.0,1501110595
70,34,1500,1.0,1501478101
70,34,1500,1.0,1501435499
70,34,1500,1.0,567710901
70,34,2000,1.0,2001298788
70,34,2000,1.0,2001166601
70,34,2000,1.0,2001440001
70,34,2000,1.0,2001403198
70,34,2000,1.0,634990218
80,39,10,0.0,17649843
80,39,10,0.0,14874167
80,39,10,0.0,23982639
80,39,10,0.0,24595975
80,39,10,0.0,15330927
80,39,100,0.0,449259
80,39,100,0.0,106983752
80,39,100,0.0,108286345
80,39,100,0.0,109269120
80,39,100,0.0,103774115
80,39,500,0.0,506974991
80,39,500,0.0,506138780
80,39,500,0.0,507209691
80,39,500,0.0,506176332
80,39,500,0.0,506760157
80,39,1000,0.0,1007115725
80,39,1000,0.0,1004197039
80,39,1000,0.0,1005590307
80,39,1000,0.0,1005628286
80,39,1000,0.0,1008618719
80,39,1500,0.0,1510893251
80,39,1500,0.0,1506318486
80,39,1500,0.0,1505855832
80,39,1500,0.0,1511814892
80,39,1500,0.0,1384656527
80,39,2000,0.0,2005721524
80,39,2000,0.0,1291786973
80,39,2000,0.0,2009822833
80,39,2000,0.0,2008948070
80,39,2000,0.0,2008553463
80,39,10,0.1,13874422
80,39,10,0.1,13736675
80,39,10,0.1,11708392
80,39,10,0.1,13425214
80,39,10,0.1,10992638
80,39,100,0.1,101803892
80,39,100,0.1,101433252
80,39,100,0.1,102108414
80,39,100,0.1,101820904
80,39,100,0.1,101096024
80,39,500,0.1,502305300
80,39,500,0.1,502219229
80,39,500,0.1,501516866
80,39,500,0.1,501863209
80,39,500,0.1,501500001
80,39,1000,0.1,1002118969
80,39,1000,0.1,1001851644
80,39,1000,0.1,1002247027
80,39,1000,0.1,1001314661
80,39,1000,0.1,1001802312
80,39,1500,0.1,1508013288
80,39,1500,0.1,1501840115
80,39,1500,0.1,1501520720
80,39,1500,0.1,1501664864
80,39,1500,0.1,1501619381
80,39,2000,0.1,2001993314
80,39,2000,0.1,2001497832
80,39,2000,0.1,2001656765
80,39,2000,0.1,2004098575
